1446981099.048000, /muse/elements/raw_fft0, -4.012181, 1.2356807, -0.98194844, 0.2346496, 5.101412, 2.984989, -2.8536863, -1.089756, -6.9036384, -6.9166455, -1.2719741, -2.800664, -5.4377217, -9.039185, -4.2897, 1.3593478, -0.010817996, -0.6062191, -5.3975167, -7.714771, -6.958087, -10.251343, -5.550072, -6.6299686, -9.799719, -10.669516, -7.048316, -10.527499, -9.094259, -2.106006, -5.570252, -4.8185263, -4.9613366, -2.7381938, -2.5929027, -10.181564, -10.247439, -10.5655775, -5.792543, -4.2605534, -5.2496033, -3.9493692, -8.238793, -8.283458, -5.494339, -6.199211, -5.2667, -4.310023, -10.562578, -9.874911, -5.1826177, -5.374987, -2.5293477, -4.2670035, -4.688258, -9.526261, -12.65765, 11.356255, 21.091925, 15.851013, -10.616319, -8.994144, -6.223685, -7.2938676, -11.732384, -10.14017, -7.538298, -9.739926, -16.247969, -13.218605, -12.43883, -15.7378, -15.893031, -12.193279, -14.855468, -16.510614, -12.784629, -10.625178, -12.262469, -15.907146, -13.897581, -15.756767, -14.248712, -3.2807884, -3.5159452, -9.672839, -12.270458, -11.637097, -14.535499, -15.224445, -15.022996, -10.9851675, -11.979683, -6.8949003, -0.56471217, -5.4750686, -5.957088, -6.6538987, -7.225014, -8.044472, -0.30477667, -4.2567916, -19.178904, -22.497704, -19.765911, -14.891571, -12.422122, -16.453836, -15.985524, -17.10236, -12.329875, -9.589319, -14.6520195, -14.600303, -13.14158, -6.1913476, 1.527883, 0.058801115, -10.269191, -16.69805, -18.295963, -16.668772, -14.099857, -14.792685, -20.824257, -20.597437, -21.241985, -18.192297, -20.976078
1446981099.049000, /muse/elements/raw_fft1, -12.770759, -5.6399746, -3.723522, -7.98262, -6.187835, -9.552558, -10.22973, -10.848215, -14.322124, -14.113765, -17.614828, -15.734832, -12.372874, -11.758936, -13.996807, -11.936755, -4.523615, -2.4066148, -3.8743727, -4.155314, -5.0217323, -3.258224, -7.8516054, -8.573045, -0.55258465, 0.53712904, -3.5416172, -5.1682835, -3.4532566, -4.582574, -4.811659, -4.8370953, -6.7524543, -8.507074, -9.31138, -5.1756053, -6.853773, -8.104213, -3.81362, -2.9072795, -7.1226196, -5.906013, -5.19948, -5.657773, -5.4603868, -3.860054, -4.4385133, -7.9149027, -2.84653, -3.4864507, 2.1228147, -1.5923523, -4.774412, -3.4145644, -2.1172006, -5.5603166, -8.519587, 4.480142, 14.574404, 9.831261, -6.769082, -12.987496, -9.880411, -14.544213, -11.717322, -13.378727, -9.520092, -7.277275, -15.559902, -25.29873, -27.929235, -19.672268, -21.455366, -26.595577, -19.02537, -13.370368, -11.353196, -10.81169, -8.330316, -3.6954584, -6.548567, -11.172224, -9.014003, -3.2464392, -3.9733515, -11.763519, -9.836958, -11.498971, -11.677858, -9.528879, -6.3160915, -9.068798, -5.6776104, -7.077412, -2.549682, -8.376928, -11.319839, -8.148665, -6.661805, -7.875434, -4.732805, -7.5059686, -7.6084805, -8.164179, -10.6323185, -10.324375, -9.690189, -16.015652, -7.448236, -9.031332, -17.974762, -13.361229, -9.0743, -8.598543, -9.776695, -14.655325, -9.631555, -10.015775, -15.246174, -21.306755, -14.695641, -15.99403, -16.21986, -15.315877, -16.098042, -20.527294, -21.545706, -21.006563, -28.939363
1446981099.050000, /muse/elements/raw_fft2, 20.12681, 24.91777, 22.422745, 13.794212, 13.065941, 10.205318, 7.4509063, 12.025124, 11.197333, 6.323644, 8.843404, 4.2576504, -0.8055663, -0.5182257, -0.103857815, -4.233157, -6.3608394, -9.574434, -3.0344553, 1.3929207, -0.32627484, -2.1220894, -5.5157485, -7.718526, -8.606257, -11.303664, -6.0779934, -3.944221, -6.81128, -4.9941716, -10.94881, -6.3258643, -5.696279, -9.333757, -5.8391705, -10.459873, -13.45193, -9.490467, -7.939337, -11.66996, -11.220938, -6.121953, -7.95447, -7.939741, -8.864574, -10.718826, -11.662739, -14.940509, -18.545954, -10.807022, -8.172912, -13.8865385, -10.598026, -12.645112, -14.360719, -12.3429575, -11.805058, 12.224808, 21.7109, 16.534945, -7.2467365, -14.041731, -13.040144, -9.949823, -11.854645, -13.681003, -16.470156, -18.29704, -17.501642, -18.259415, -23.53079, -23.781158, -19.601719, -19.916485, -19.030735, -18.467426, -12.010407, -12.128978, -14.548419, -12.953766, -13.931968, -14.990668, -18.340225, -14.91633, -14.344048, -19.148357, -20.591461, -18.175142, -15.214518, -14.735886, -14.400728, -11.678746, -10.993682, -15.969647, -16.089289, -18.993284, -14.60563, -14.715055, -19.481956, -18.91359, -17.83758, -20.714409, -18.09007, -15.236891, -18.456493, -20.214035, -20.524225, -21.97837, -19.629118, -19.404024, -20.793726, -18.59847, -17.09334, -18.022404, -24.04804, -17.253328, -14.695106, -12.994501, -17.457644, -17.389143, -19.230635, -20.432026, -19.832842, -21.689438, -22.612703, -23.616135, -27.481915, -23.371513, -21.093504
1446981099.051000, /muse/elements/raw_fft3, 17.744642, 23.131084, 24.179562, 25.065157, 22.309107, 27.143332, 25.808779, 20.409641, 19.102306, 21.02096, 20.090422, 20.497272, 25.451101, 22.18579, 17.900915, 16.656715, 5.239321, 6.9066877, 10.417374, 11.896847, 6.771201, 14.317667, 16.269386, 11.941236, 9.593505, 11.3085, 10.940405, 12.316054, 7.1587467, 7.6315866, 8.018513, 7.4618716, 0.46530926, 10.263613, 22.504026, 24.64151, 19.485151, 13.19662, 7.9165654, 4.6140018, 0.98596364, 2.433127, 7.2610497, 3.2416594, 3.0059912, 5.989424, 8.808859, 8.543084, 4.873071, 3.2753944, 1.5633442, 2.3794508, 4.978526, 9.048411, 4.1233788, 1.4744315, 5.2470126, 30.621983, 40.20214, 34.828648, 5.1465063, 2.5364463, 4.8684134, 0.7150361, -3.8264735, -2.5796897, 1.5274642, 4.495229, 2.5882595, 7.1527495, 4.122858, -1.1599439, -3.4726417, 3.5090666, 3.4780314, 2.541191, -0.84036446, 1.594063, -4.14117, -3.597744, 4.8233566, 8.490421, 7.7552023, -1.9310915, -1.064729, 0.8156497, 4.1968007, 3.9488654, -0.23694523, 2.9859424, 4.17119, -1.5324286, -5.7273664, -1.2633739, -4.981333, -1.4072516, -2.530384, -3.2360122, -3.6585681, 1.3258306, 0.86833215, -1.0639752, 2.545953, 5.3200417, 9.136283, 1.2822819, 0.25849462, -0.5044816, 0.818281, 0.22403315, -1.8448707, -5.514, -1.976124, -5.937382, -5.842326, -4.1631045, -4.8743095, -2.502064, 3.8669968, 4.979871, 0.854356, 2.0886304, 4.242921, -1.931947, -6.3046613, 0.22212923, 3.6090105, 12.096721, 14.097895
1446981099.052000, /muse/elements/low_freqs_absolute, 0.0, 0.0, 0.0, 0.0
1446981099.052000, /muse/elements/alpha_absolute, 0.0, 0.0, 0.0, 0.0
1446981099.052000, /muse/elements/beta_absolute, 0.0, 0.0, 0.0, 0.0
1446981099.052000, /muse/elements/delta_absolute, 0.0, 0.0, 0.0, 0.0
1446981099.052000, /muse/elements/gamma_absolute, 0.0, 0.0, 0.0, 0.0
1446981099.052000, /muse/elements/theta_absolute, 0.0, 0.0, 0.0, 0.0
1446981099.052000, /muse/elements/alpha_session_score, 0.0, 0.0, 0.0, 0.0
1446981099.052000, /muse/elements/beta_session_score, 0.0, 0.0, 0.0, 0.0
1446981099.052000, /muse/elements/delta_session_score, 0.0, 0.0, 0.0, 0.0
1446981099.052000, /muse/elements/gamma_session_score, 0.0, 0.0, 0.0, 0.0
1446981099.052000, /muse/elements/theta_session_score, 0.0, 0.0, 0.0, 0.0
1446981099.053000, /muse/eeg, 886.6444, 889.9344, 766.56085, 1090.622
1446981099.053000, /muse/eeg, 829.07007, 875.1295, 799.46045, 1090.622
1446981099.053000, /muse/eeg, 838.94, 863.6147, 840.58496, 1511.7369
1446981099.053000, /muse/eeg, 894.8693, 858.67975, 825.78015, 1511.7369
1446981099.053000, /muse/eeg, 914.6091, 881.7095, 761.6259, 1090.622
1446981099.053000, /muse/eeg, 857.0347, 883.35443, 753.401, 880.06445
1446981099.053000, /muse/eeg, 819.2002, 883.35443, 804.3954, 1301.1794
1446981099.053000, /muse/eeg, 863.6147, 855.3898, 815.9103, 1511.7369
1446981099.053000, /muse/eeg, 898.15924, 863.6147, 766.56085, 1301.1794
1446981099.053000, /muse/eeg, 883.35443, 886.6444, 733.66125, 880.06445
1446981099.054000, /muse/eeg, 850.45483, 898.15924, 763.2709, 880.06445
1446981099.054000, /muse/eeg, 847.16486, 861.9697, 802.7504, 1301.1794
1446981099.054000, /muse/eeg, 903.09424, 848.8099, 784.65564, 1301.1794
1446981099.054000, /muse/eeg, 906.38416, 866.90466, 732.01624, 630.02747
1446981099.054000, /muse/acc, 19.53128, 1003.90784, 140.62521
1446981099.054000, /muse/drlref, 1606451.6, 1645161.2
1446981099.054000, /muse/acc, 19.53128, 1007.8141, 136.71896
1446981099.054000, /muse/acc, 23.437536, 1007.8141, 140.62521
1446981099.063000, /muse/acc, 27.343792, 1003.90784, 136.71896
1446981099.064000, /muse/eeg, 847.16486, 860.3247, 745.1761, 630.02747
1446981099.064000, /muse/eeg/quantization, 1, 1, 2, 128
1446981099.064000, /muse/eeg, 837.295, 881.7095, 804.3954, 1051.1425
1446981099.064000, /muse/eeg, 886.6444, 876.77454, 801.1054, 1261.7
1446981099.064000, /muse/eeg, 904.7392, 884.99945, 738.5962, 840.58496
1446981099.064000, /muse/eeg, 871.8396, 896.5143, 725.43634, 419.47
1446981099.064000, /muse/eeg, 825.78015, 881.7095, 764.91583, 630.02747
1446981099.064000, /muse/eeg, 852.0998, 857.0347, 797.8155, 1051.1425
1446981099.065000, /muse/eeg, 917.89905, 870.1946, 761.6259, 1051.1425
1446981099.065000, /muse/elements/alpha_relative, nan, nan, nan, nan
1446981099.065000, /muse/elements/beta_relative, nan, nan, nan, nan
1446981099.065000, /muse/elements/delta_relative, nan, nan, nan, nan
1446981099.065000, /muse/elements/gamma_relative, nan, nan, nan, nan
1446981099.065000, /muse/elements/theta_relative, nan, nan, nan, nan
1446981099.065000, /muse/elements/horseshoe, 4.0, 4.0, 4.0, 4.0
1446981099.065000, /muse/elements/is_good, 0, 0, 0, 0
1446981099.065000, /muse/elements/blink, 0
1446981099.065000, /muse/elements/jaw_clench, 0
1446981099.065000, /muse/elements/touching_forehead, 0
1446981099.066000, /muse/elements/experimental/concentration, 0.0
1446981099.066000, /muse/elements/experimental/mellow, 0.0
1446981099.069000, /muse/elements/raw_fft0, -3.9416125, 0.7685336, -1.2372998, 0.3357287, 4.682129, 2.4403284, -3.206191, -0.7316306, -6.0669074, -7.7152696, -1.2454451, -2.5274794, -5.8409796, -9.078045, -4.255661, 1.8595105, 1.343812, -0.24787778, -5.19236, -7.6751947, -6.5186543, -8.901287, -5.337284, -6.5340796, -9.911372, -9.354578, -6.081691, -10.057356, -8.959371, -2.415701, -5.4463806, -4.107876, -4.2138815, -2.7858915, -3.2318592, -11.236642, -10.288636, -10.57312, -6.359862, -5.888895, -6.880366, -4.367007, -7.8286457, -8.4272785, -5.6713386, -6.4172883, -5.2004256, -3.766035, -9.315265, -10.020411, -6.1746297, -5.7413774, -2.8953013, -4.438982, -4.2658195, -8.541616, -11.808443, 11.283676, 21.082212, 15.846331, -10.443832, -8.475835, -5.992064, -7.3321314, -10.837563, -10.632093, -7.675972, -9.579665, -15.426096, -13.129871, -12.415239, -15.730876, -15.90547, -11.91827, -14.652651, -16.6424, -12.272681, -9.481788, -11.780467, -15.497827, -14.079442, -15.939801, -13.857734, -3.4902747, -3.391755, -9.789084, -11.324894, -10.327874, -13.22823, -14.01514, -15.447404, -10.7653055, -11.255366, -6.440903, -0.4233559, -5.6936502, -5.7528014, -6.3521967, -6.834948, -7.3444457, -0.223606, -4.011414, -18.198702, -21.530857, -20.259886, -15.441857, -12.54777, -16.007904, -15.9689045, -16.279823, -13.026651, -10.035751, -14.353629, -14.598024, -12.875122, -6.14978, 1.0916603, -0.6646297, -10.438655, -16.242455, -18.279778, -16.319645, -14.448824, -14.42337, -19.559011, -19.465424, -21.579847, -18.389969, -20.93371
1446981099.070000, /muse/elements/raw_fft1, -11.602925, -5.3405914, -3.6417952, -8.066939, -6.9509478, -10.8994665, -9.517237, -10.780932, -15.785996, -14.112667, -16.600666, -15.025246, -12.363345, -11.724485, -13.176317, -11.175631, -5.125311, -3.832074, -3.714538, -3.5779898, -5.417576, -3.6409876, -7.4970083, -9.379608, -0.8011307, 0.80959827, -3.6763184, -4.837392, -2.5600228, -4.993915, -4.370894, -4.3442955, -6.690827, -7.647504, -8.3827505, -4.974901, -5.2760906, -6.78885, -4.460672, -2.905879, -6.9697504, -5.998785, -4.688069, -6.1271157, -6.4388294, -4.4243474, -4.090271, -7.5808897, -2.7234914, -2.6317673, 2.6086364, -0.42534003, -4.414914, -4.073154, -2.6087458, -5.427767, -7.9222183, 4.620361, 14.473238, 9.726515, -6.05981, -11.890547, -8.34052, -14.553846, -12.009793, -13.391949, -9.632836, -7.5851054, -15.262061, -23.586578, -27.520798, -20.671944, -22.015991, -24.222364, -19.938349, -13.213727, -10.232981, -9.985904, -8.31912, -3.5685837, -6.9535675, -11.857608, -8.7261095, -2.835207, -3.2586606, -10.104492, -9.146604, -11.576914, -11.563099, -9.787912, -6.0732117, -8.842096, -5.454068, -7.886586, -2.8621573, -8.5069685, -12.002605, -8.08131, -6.48829, -7.4224343, -4.809301, -7.9562488, -9.068322, -8.601596, -11.220144, -10.530038, -9.177512, -14.8277235, -6.8681517, -8.694802, -18.139015, -13.638253, -8.632985, -8.776685, -9.924153, -14.423145, -9.353478, -8.972931, -14.822392, -21.153414, -14.800143, -16.305199, -16.813768, -15.703967, -15.489827, -20.85523, -22.099186, -21.399208, -30.27828
